active,company_id,reconcile,code,id,child_consol_ids,tax_ids,currency_id,name,note,parent_id:id,currency_mode,user_type,type
VERDADERO,Demo AVION,,420523000,avion_461,,,,Reparaciones Varias,,avion_438,current,Payable,payable
VERDADERO,Demo AVION,,420524000,avion_462,,,,Energia Electrica,,avion_438,current,Payable,payable
VERDADERO,Demo AVION,,420525000,avion_463,,,,Seguros,,avion_438,current,Payable,payable
VERDADERO,Demo AVION,,4206*,avion_464,,,,GASTOS FINANCIEROS,,avion_373,current,View,view
VERDADERO,Demo AVION,,420601000,avion_465,,,,Intereses Comerciales,,avion_464,current,Payable,payable
VERDADERO,Demo AVION,,420602000,avion_466,,,,Gastos Bancarios,,avion_464,current,Payable,payable
VERDADERO,Demo AVION,,420603000,avion_467,,,,Imp. Debitos y Creditos Bancar,,avion_464,current,Payable,payable
VERDADERO,Demo AVION,,420604000,avion_468,,,,Intereses Financieros,,avion_464,current,Payable,payable
VERDADERO,Demo AVION,,4207*,avion_469,,,,IMPUESTOS,,avion_373,current,View,view
VERDADERO,Demo AVION,,420701000,avion_470,,,,Impuestos a los Ing. Brutos,,avion_469,current,Payable,payable
VERDADERO,Demo AVION,,420702000,avion_471,,,,Impuesto Municipal,,avion_469,current,Payable,payable
VERDADERO,Demo AVION,,420703000,avion_472,,,,Impuesto a las Ganancias,,avion_469,current,Payable,payable
VERDADERO,Demo AVION,,420704000,avion_473,,,,Multas,,avion_469,current,Payable,payable
VERDADERO,Demo AVION,,420705000,avion_474,,,,Intereses Resarcitorios,,avion_469,current,Payable,payable
VERDADERO,Demo AVION,,420706000,avion_475,,,,Impuestos Internos,,avion_469,current,Payable,payable
VERDADERO,Demo AVION,,4208*,avion_476,,,,PREVISIONES,,avion_373,current,View,view
VERDADERO,Demo AVION,,420801000,avion_477,,,,Prevision Sac,,avion_476,current,Payable,payable
